"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"990";"RUB";"Туника  230-3 жаккард 56-66рр";"http://stile-n.ru/products/tunika-230-3-zhakkard-56-66rr";"состав 100% хлопок (жаккард) Туника имеет разрезы по бокам, рукав реглан манжет выполнен из кружева Длина туники - 76см ,длина рукава  (от горловины) - 43см";"58 на 56-58, 66 на 64-66";"";"http://stile-n.ru/files/products/DSCF7134.800x600.jpg?58a3677191cb04862345e030ea5089f3";"http://stile-n.ru/files/products/DSCF7134.340x450.jpg?5c051c9c55de958f87d7dc4c88092f09"
"1090";"RUB";"Блуза 135б-1 56-64рр";"http://stile-n.ru/products/bluza-135b-1-56-64rr";"состав 100% полиэстер (креп-трикотаж) Перед - кружево на трикотаже, с небольшим блеском Рукав и спинка из однотонного креп-трикотажа Длина блузки 73см";"56";"";"http://stile-n.ru/files/products/DSCF1132.800x600.jpg?d5718f59e796bc157be459d73c3fdbf0";"http://stile-n.ru/files/products/DSCF1132.340x450.jpg?045514f7dc6a4841fe08de165de20007"
"1150";"RUB";"Блуза 045-1 54-66рр";"http://stile-n.ru/products/bluza-045-1-54-66rr";"состав 100% полиэстер (трикотаж масло) Блузка очень нарядкая, имеет небольшой блеск";"54, 56-58";"";"http://stile-n.ru/files/products/DSCF7289.800x600.jpg?da135ffa13f166e78fc4f6d1197fde85";"http://stile-n.ru/files/products/DSCF7289.340x450.jpg?996cc663867da4068eb53b11991383c6"
"1090";"RUB";"Туника 022-15 56-66рр оливка";"http://stile-n.ru/products/tunika-022-15-56-66rr-olivka";"Состав 45%полиэстер, 50% вискоза, 5%эластан (трикотаж жаккард)";"56";"";"http://stile-n.ru/files/products/DSCF5278.800x600.jpg?66e2777e996a12be0d14810cdb9969c2";"http://stile-n.ru/files/products/DSCF5278.340x450.jpg?e6dc7dc696248f38bbab383fd86ebbf9"
"1090";"RUB";"Туника 022-14 56-66рр терракот";"http://stile-n.ru/products/tunika-022-14-56-66rr-terrakot";"Состав 45%полиэстер, 50% вискоза, 5%эластан (трикотаж жаккард)";"56, 58";"";"http://stile-n.ru/files/products/DSCF5229.800x600.jpg?fb41a77eb76a5817fe27352590446f43";"http://stile-n.ru/files/products/DSCF5229.340x450.jpg?b69e035659eafa081aa8c775ad360dfb"
"960";"RUB";"Блуза 120-15 56-66рр";"http://stile-n.ru/products/120-15";"состав 100% полиэстер (шифон средней плотности) Длина блузки - 74см,  рукав (мажет на резинке) - 58см";"56, 58, 60, 62, 64";"";"http://stile-n.ru/files/products/DSCF0645.800x600.jpg?0da31db7c39757a868ba8cb60fd8a86a";"http://stile-n.ru/files/products/DSCF0645.340x450.jpg?9adc63e08e6f0649ab281a5a21154274"
"1290";"RUB";"Рубашка 146-3 белая полоска 56-66рр";"http://stile-n.ru/products/rubashka-146-3-belaya-poloska-56-66rr";"состав 100% полиэстер (рубашечная ткань -стрейч) Длина блузки - 85см, рукав - 75см";"56, 58, 60";"";"http://stile-n.ru/files/products/1245.800x600.jpg?3834b3a43ec7d33c330454dfd8ca710d";"http://stile-n.ru/files/products/1245.340x450.jpg?389f00006d5de7475b4ba9f7a06cc753"
"1290";"RUB";"Рубашка 146-1 серая полоска 56-66рр";"http://stile-n.ru/products/rubashka-146-1-seraya-poloska-56-66rr-";"состав 100% полиэстер (рубашечная ткань -стрейч) Длина блузки - 85см, рукав - 75см";"56, 58, 60";"";"http://stile-n.ru/files/products/1-82_1.800x600.jpg?a8d77f61ebd2bfc7ce6e825c7b02dbef";"http://stile-n.ru/files/products/1-82_1.340x450.jpg?d5d14b7003c527fa94edb8a5f54a8ce5"
"1090";"RUB";"Блуза 099-17  56-66р";"http://stile-n.ru/products/bluza-099-17-56-66r";"состав 100% полиэстер (креп) длина изделия 75 см, длина рукава 50 см";"54, 56-58";"";"http://stile-n.ru/files/products/DSCF6902.800x600.jpg?3eccce5d1f5da17a7ffacc33964067e9";"http://stile-n.ru/files/products/DSCF6902.340x450.jpg?99b8133d77c1d36629d0dce794d0f222"
"800";"RUB";"Жилет 228-2  56-66рр";"http://stile-n.ru/products/zhilet-228-2-56-66rr-";"состав 100% полиэстер (костюмная ткань, облегченная) Длина жилета 98см";"56-58";"";"http://stile-n.ru/files/products/dscf4534.800x600.jpg?090bda9e058d3dd1a962b4a1781957f4";"http://stile-n.ru/files/products/dscf4534.340x450.jpg?1fee4295e784a05ff8cf53adb8f8ce3a"
"1490";"RUB";"Кардиган 400-10 54-66рр";"http://stile-n.ru/products/kardigan-400-10-54-66rr";"состав 100% полиэстер (трикотаж-жаккард) Жакет на пуговицах, с карманами. Длина жакета - 104 см, длина рукава (от горловины) - 75 см Жакет свободный, рукав спущенный (если любите поплотнее к телу, смело берите на размер меньше)";"52-54";"";"http://stile-n.ru/files/products/DSCF1400.800x600.jpg?b085660afb3f33d06c25d109ea0fdf33";"http://stile-n.ru/files/products/DSCF1400.340x450.jpg?2dd6d57f8fb3dcf22800a5ab25b97800"
"990";"RUB";"Туника 317-51 кружево 56-66рр";"http://stile-n.ru/products/tunika-317-51-kruzhevo-56-66rr";"состав 100% полиэстер (Перед блузы выполнен из кружева, рукава и спинка из трикотажа ""вязанное полотно"") Длина блузы 76см, рукав - 27с";"56-58";"";"http://stile-n.ru/files/products/DSCF4290web.800x600.jpg?a0a4a48684c682189b9b46f937a38980";"http://stile-n.ru/files/products/DSCF4290web.340x450.jpg?dc3f12762b5630c57e42ea9efc52ed1d"
"1090";"RUB";"Блуза 098-5 ментол 54-66р";"http://stile-n.ru/products/bluza-098-5-mentol-54-66r-";"состав 100% полиэстер (креп) длина изделия 75 см, длина рукава 50 см";"56-58, 64-66";"";"http://stile-n.ru/files/products/DSCF2018.800x600.jpg?7c2a6cc42dad9bc10411922ea2b145a4";"http://stile-n.ru/files/products/DSCF2018.340x450.jpg?01ab0be8068bd2bdf7d442bf03af59b7"
"990";"RUB";"Жилет 227-3* беж 56-66рр";"http://stile-n.ru/products/zhilet-227-3-bezh-56-66rr";"состав 100% полиэстер (искуственная замша) Длина по спинке - 80-83см";"52-54";"";"http://stile-n.ru/files/products/DSCF7042.800x600.jpg?4ee4f2bce28206e3595ed4eb852c2325";"http://stile-n.ru/files/products/DSCF7042.340x450.jpg?6bd5738b11ded9c008692048b5ae2d20"
"850";"RUB";"Блуза 202-13 52-66рр маломерит на размерность";"http://stile-n.ru/products/bluza-202-13-52-66rr-malomerit-na-razmernost";"состав 100% полиэстер (шелк стрейч) Длина блузы 72см Маломерит на размерность(те 56-58 на 52-54)";"52-54, 56-58";"";"http://stile-n.ru/files/products/DMAT0368.800x600.jpg?9c441e29eacb548d7a422731a3ea8838";"http://stile-n.ru/files/products/DMAT0368.340x450.jpg?ee0205496cefd7285d80b38b71083b3d"
"850";"RUB";"Блуза 045-56 цветы 56-66рр";"http://stile-n.ru/products/bluza-045-56-tsvety-56-66rr-";"состав 70% вискоза, 30% полиэстер (трикотаж) Длина блузки 70 см, ширина блузки по низу в 60-62размере - 124 см";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/DMAT1237.800x600.jpg?0dcbbb74c4af47739b88cbad3edbac3c";"http://stile-n.ru/files/products/DMAT1237.340x450.jpg?ef9550432e8064e31902f15f79316728"
"950";"RUB";"Блуза 046- 9  56-64рр";"http://stile-n.ru/products/bluza-046--9-56-64rr-";"состав 100% полиэстер (креп, не просвечивает) Блуза на пуговицах, рукав на манжете. Длина блузки  по спинке -  75см, длина рукава - 50см";"56, 58, 64";"";"http://stile-n.ru/files/products/DSCF3194.800x600.jpg?a48aae77c43fbdb6b05cae1928c9318b";"http://stile-n.ru/files/products/DSCF3194.340x450.jpg?edcf3c056c5bd2ed38dae085db24e39a"
"990";"RUB";"Блуза 015-1 ягодка 54-66рр (большемерит)";"http://stile-n.ru/products/bluza-015-1-yagodka-54-66rr-bolshemerit";"состав Креп+штапель Спинка белая";"54, 56-58";"";"http://stile-n.ru/files/products/stylen-3_1.800x600.jpg?c5ef44115451341c612c492c15a28b29";"http://stile-n.ru/files/products/stylen-3_1.340x450.jpg?756d13c00e103467e90c4ad32782d5d0"
"1150";"RUB";"Рубашка 142-1 56-66 рр";"http://stile-n.ru/products/rubashka-142-1-56-66-rr-";"состав 100%  хлопок Рубашка свободная, рукав на манжете - на пуговицах Длина по спинке - 80см,  рукав - 65смцвет светло-желтый";"56, 60, 62, 64";"";"http://stile-n.ru/files/products/img_8718.800x600.jpg?84162650c712f8676c9fd2d624ed8450";"http://stile-n.ru/files/products/img_8718.340x450.jpg?7a61b401f5e171af35a64b01e3822017"
"890";"RUB";"Блузка 317-4 54-64 рр маломерит на размерность";"http://stile-n.ru/products/bluzka-317-4-54-64-rr-malomerit-na-razmernost";"состав 100% вискоза (трикотаж вискоза 95% вискоза, 5% лайкра) Длина туники - 76 см, длина рукава - 29см";"56-58 на 54-56";"";"http://stile-n.ru/files/products/Acrobats%20performing%20tricks%20in%20air-42.800x600.jpg?6c3d431e2ca876a01df6e7147740cd15";"http://stile-n.ru/files/products/Acrobats%20performing%20tricks%20in%20air-42.340x450.jpg?27a6cc3271beee01398d11ac8535e99b"
